web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards
"1618238480-3062","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Stranger in a Strange Land","https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land","Stranger in a Strange Land","Robert A. Heinlein","8,309
    reviews","282,233
  ratings","3.92","525 pages","Published
        October 1st 1991
         by Ace

            
              (first published July 1961)","null","Religion","null","Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)"
"1618238519-3194","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Blood Red Road (Dust Lands, #1)","https://www.goodreads.com/book/show/9917938-blood-red-road","Blood Red Road","Moira Young","5,828
    reviews","61,335
  ratings","3.90","459 pages","Published
        June 7th 2011
         by Margaret K. McElderry Books","Other books in the series","Young Adult","null","Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012)
                      ...more
                          Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013)
...less"
"1618238581-3426","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Across the Universe (Across the Universe, #1)","https://www.goodreads.com/book/show/8235178-across-the-universe","Across the Universe","Beth Revis","10,354
    reviews","116,255
  ratings","3.77","399 pages","Published
        January 11th 2011
         by Razorbill","Other books in the series","Science Fiction","Godspeed

    

    United States of America

    

    Earth

    

    …more
          Outer Space

        

…less","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)"
"1618238509-3155","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Birthmarked (Birthmarked, #1)","https://www.goodreads.com/book/show/6909544-birthmarked","Birthmarked","Caragh M. O'Brien","3,619
    reviews","47,979
  ratings","3.87","361 pages","Published
        March 30th 2010
         by Roaring Brook Press","Other books in the series","Science Fiction","null","Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)"
"1618238594-3483","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Long Walk","https://www.goodreads.com/book/show/9014.The_Long_Walk","The Long Walk","Richard Bachman","7,735
    reviews","135,469
  ratings","4.08","370 pages","Published
        April 1st 1999
         by Signet

            
              (first published July 1979)","null","Novels","null","null"
"1618238517-3192","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cell","https://www.goodreads.com/book/show/10567.Cell","Cell","Stephen King","6,225
    reviews","199,891
  ratings","3.66","449 pages","Published
        December 2006
         by Pocket Star Books

            
              (first published 2006)","null","Suspense","null","null"
"1618238509-3157","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Birthmarked (Birthmarked, #1)","https://www.goodreads.com/book/show/6909544-birthmarked","Birthmarked","Caragh M. O'Brien","3,619
    reviews","47,979
  ratings","3.87","361 pages","Published
        March 30th 2010
         by Roaring Brook Press","Other books in the series","Science Fiction","null","Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)"
"1618238668-3759","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Watchmen","https://www.goodreads.com/book/show/472331.Watchmen","Watchmen","Alan Moore","14,675
    reviews","499,362
  ratings","4.37","416 pages","Published
        2005
         by DC Comics

            
              (first published 1987)","Other books in the series","Graphic Novels Comics","New York City, New York,
1985

(United States)","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less"
"1618238583-3435","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Day of the Triffids","https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids","The Day of the Triffids","John Wyndham","3,650
    reviews","93,024
  ratings","4.02","228 pages","Published
        July 1st 2003
         by Modern Library

            
              (first published 1951)","Other books in the series","Fiction","London, England

(United Kingdom)


    

    United Kingdom","International Fantasy Award Nominee for Fiction (1952)"
"1618238637-3644","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","We","https://www.goodreads.com/book/show/76171.We","We","Yevgeny Zamyatin","4,969
    reviews","76,635
  ratings","3.91","226 pages","Published
        1993
         by Penguin Classics

            
              (first published 1920)","null","Fiction","null","null"
"1618238668-3760","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Watchmen","https://www.goodreads.com/book/show/472331.Watchmen","Watchmen","Alan Moore","14,675
    reviews","499,362
  ratings","4.37","416 pages","Published
        2005
         by DC Comics

            
              (first published 1987)","Other books in the series","Comics","New York City, New York,
1985

(United States)","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less"
"1618238527-3233","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Incarceron (Incarceron, #1)","https://www.goodreads.com/book/show/332775.Incarceron","Incarceron","Catherine Fisher","5,365
    reviews","59,683
  ratings","3.64","458 pages","Published
        May 3rd 2007
         by Hodder Children's Books","Other books in the series","Mystery","null","Mythopoeic Fantasy Award Nominee for Children’s Literature (2011), Milwaukee County Teen Book Award Nominee (2011), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2007), Carnegie Medal Nominee (2008)"
"1618238475-3035","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Feed (Newsflesh Trilogy, #1)","https://www.goodreads.com/book/show/7094569-feed","Feed","Mira Grant","6,376
    reviews","53,860
  ratings","3.86","599 pages","Published
        May 1st 2010
         by Orbit

            
              (first published April 10th 2010)","Other books in the series","Horror","null","Hugo Award Nominee for Best Novel (2011), Locus Award Nominee for Best SF Novel (2011), Shirley Jackson Award Nominee for Novel (Finalist) (2010), Goodreads Choice Award for Science Fiction (2010)"
